City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,chibougamau,49.9168,-74.3659,19.79,73,100,6.17,CA,1687818250
337,tezu,27.9167,96.1667,24.0,98,100,1.56,IN,1687818250
338,toamasina,-18.1667,49.3833,15.0,100,20,1.03,MG,1687818250
339,el bayadh,33.6832,1.0193,24.79,15,0,4.64,DZ,1687818250
340,nagqu,31.5,92.0,5.75,89,100,4.01,CN,1687818250
341,lexington,37.9887,-84.4777,26.97,64,100,6.12,US,1687818045
342,champerico,14.3,-91.9167,34.3,67,78,5.32,GT,1687818251
343,melo,-32.3667,-54.1833,19.33,92,72,3.53,UY,1687818251
344,kapit,2.0167,112.9333,22.35,99,67,0.33,MY,1687818251
345,tarauaca,-8.1614,-70.7656,27.48,71,96,0.9,BR,1687818251
346,jaguaruna,-28.615,-49.0256,20.03,81,24,1.65,BR,1687818251
347,whakatane,-37.9585,176.9854,12.16,99,48,1.34,NZ,1687818251
348,okha,53.5739,142.9478,10.45,96,100,3.45,RU,1687818252
349,cambridge,43.3601,-80.3127,23.89,83,100,3.6,CA,1687818231
350,kaitong,44.8135,123.15,21.69,76,100,1.69,CN,1687818252
351,mombetsu,44.3525,143.3525,19.94,64,5,1.39,JP,1687818252
352,shimoda,34.6667,138.95,22.84,93,100,1.64,JP,1687818252
353,bamboo flat,11.7,92.7167,27.05,89,75,0.51,IN,1687818252
354,glace bay,46.1969,-59.957,12.93,87,100,5.14,CA,1687818253
355,uusikaupunki,60.8004,21.4084,14.73,80,51,1.43,FI,1687818253
356,peterhead,57.5058,-1.7981,13.22,79,12,4.34,GB,1687818253
357,huanren,41.2647,125.3667,18.24,99,97,1.47,CN,1687818253
358,coracora,-15.0333,-73.7833,14.55,32,0,2.51,PE,1687818253
359,suntar,62.1444,117.6319,16.11,83,16,2.92,RU,1687818253
360,flying fish cove,-10.4217,105.6791,24.82,78,100,5.14,CX,1687818254
361,filey,54.21,-0.2892,15.44,75,32,1.34,GB,1687818254
